# newdoc id = bar_tweet_1638812719892537344
# sent_id = bar_tweet_1638812719892537344-1
# text = __ _ ____ __ _
__	O	O	O
_	O	O	O
____	O	O	O
__	O	O	O
_	O	O	O

# sent_id = bar_tweet_1638812719892537344-2
# text = ____ _____ ___ _________ _ ___ ________ ___ _______ _ ____________ _
____	O	O	O
_____	O	O	O
___	O	O	O
_________	O	O	O
_	O	O	O
___	O	O	O
________	O	O	O
___	O	O	O
_______	O	O	O
_	O	O	O
____________	O	B-PERpart	O
_	O	O	O

# sent_id = bar_tweet_1638812719892537344-3
# text = _________ ___ __ ___ __ ________ ___ _ ____ __ _ ___ ____ ____ _ ____ ___ ___ ______ _____ _ __ _________________ ___ _________ _________ _
_________	O	O	O
___	O	O	O
__	O	O	O
___	O	O	O
__	O	O	O
________	O	O	O
___	O	O	O
_	O	O	O
____	O	O	O
__	O	O	O
_	O	O	O
___	O	O	O
____	O	O	O
____	O	O	O
_	O	O	O
____	O	O	O
___	O	O	O
___	O	O	O
______	O	O	O
_____	O	O	O
_	O	O	O
__	O	O	O
_________________	O	O	O
___	O	O	O
_________	O	O	O
_________	O	O	O
_	O	O	O

# sent_id = bar_tweet_1638812719892537344-4
# text = __ _ ______ ____ _ _____ ____ __ _______________________
__	O	O	O
_	O	O	O
______	O	O	O
____	O	O	O
_	O	O	O
_____	O	O	O
____	O	O	O
__	O	O	O
_______________________	O	O	O

# newdoc id = bar_tweet_1626665545796837382
# sent_id = bar_tweet_1626665545796837382-1
# text = ___________ ____________ ______ _______ _
___________	O	O	O
____________	O	O	O
______	O	O	O
_______	O	O	O
_	O	O	O

# sent_id = bar_tweet_1626665545796837382-2
# text = _ ______ __ ___ _____ _ _____ _____ _
_	O	O	O
______	O	O	O
__	O	O	O
___	O	O	O
_____	O	O	O
_	O	O	O
_____	O	O	O
_____	O	O	O
_	O	O	O

# sent_id = bar_tweet_1626665545796837382-3
# text = ___ ______ _ ____ __ ___ ________ _
___	O	O	O
______	O	O	O
_	O	O	O
____	O	O	O
__	O	O	O
___	O	O	O
