# newdoc id = bar_tweet_515420477486288896
# sent_id = bar_tweet_515420477486288896-1
# text = _______ _______________ ___ __ _____ _____ _ _____ _______ ______ ________ _ ___ ___ _____ _______ ___
_______	O	O
_______________	O	O
___	O	O
__	B-ORG	B-ORG
_____	I-ORG	I-ORG
_____	I-ORG	I-ORG
_	O	O
_____	O	O
_______	B-LOC	B-LOC
______	O	O
________	B-LOC	B-LOC
_	O	O
___	O	O
___	O	O
_____	O	O
_______	O	O
___	O	O

# sent_id = bar_tweet_515420477486288896-2
# text = _____ ___ _____ ___ ___ ____ ______
_____	O	O
___	O	O
_____	O	O
___	O	O
___	O	O
____	O	O
______	O	O

# newdoc id = bar_tweet_1659474938691035137
# sent_id = bar_tweet_1659474938691035137-1
# text = _________ ____ _____ _______ _ _
_________	O	O
____	O	O
_____	O	O
_______	B-PER	B-PER
_	O	O
_	O	O

# newdoc id = bar_tweet_1648854162375843840
# sent_id = bar_tweet_1648854162375843840-1
# text = ____ __ __ _____ __
____	O	O
__	O	O
__	O	O
_____	O	O
__	O	O

# newdoc id = bar_tweet_383865663921483776
# sent_id = bar_tweet_383865663921483776-1
# text = _ ___ __ ________ ___ _ __ ___ _____ ___ ____ _ __ __________ ____________ ___ _
_	O	O
___	O	O
__	O	O
________	O	O
___	O	O
_	O	O
__	O	O
___	O	O
_____	O	O
___	O	O
____	O	O
_	O	O
__	O	O
__________	O	O
____________	O	O
___	O	O
_	O	O

# sent_id = bar_tweet_383865663921483776-2
# text = ___ _____ ___ __________________ ___ ___ ______________________
___	O	O
_____	O	O
___	O	O
__________________	B-LOCpart	B-LOCpart
___	O	O
___	O	O
______________________	O	O

# newdoc id = bar_tweet_828474107079561216
# sent_id = bar_tweet_828474107079561216-1
# text = _____ _____ _ ______ ___ __ _____ ____ __ ____________ _____ __ _
_____	O	O
_____	B-LOC	B-LOC
_	O	O
______	O	O
___	O	O
__	O	O
_____	O	O
____	O	O
__	O	O
____________	O	O
_____	O	O
__	O	O
_	O	O

# sent_id = bar_tweet_828474107079561216-2
# text = ______ ____ ____ ____ __ ______ __ ___ ______ __ __ ______ _
______	O	O
____	O	O
____	O	O
____	O	O
__	O	O
______	O	O
__	O	O
___	O	O
______	O	O
__	O	O
__	O	O
______	O	O
_	O	O

# newdoc id = bar_tweet_1520007382952202246
# sent_id = bar_tweet_1520007382952202246-1
# text = ______ __ _____ _____ _ ______ __ ___ __ _________ _
__	O	O
____	O	O
__	O	O
_____	O	O
_____	O	O
_	O	O
______	O	O
__	O	O
___	O	O
__	O	O
_________	O	O
_	O	O

# sent_id = bar_tweet_1520007382952202246-2
# text = _ _ ____ ___ ________ ____ __ ___ _____ ________ _
_	O	O
_	O	O
____	O	O
___	O	O
________	O	O
____	O	O
__	O	O
___	O	O
_____	O	O
________	O	O
_	O	O

# sent_id = bar_tweet_1520007382952202246-3
# text = ___ ____ ____ __ ____ _ ____ ____ _ _ _____ __ _
___	O	O
____	O	O
____	O	O
__	O	O
____	O	O
_	O	O
____	O	O
____	O	O
_	O	O
_	O	O
_____	B-EVENT	B-EVENT
__	O	O
_	O	O

# sent_id = bar_tweet_1520007382952202246-4
# text = _______________
_______________	O	O

# newdoc id = bar_tweet_1655079014611013634
# sent_id = bar_tweet_1655079014611013634-1
# text = __________ _________ ____ _____
__________	O	O
_________	O	O
____	O	O
_____	O	O

# newdoc id = bar_tweet_1556172822787117058
# sent_id = bar_tweet_1556172822787117058-1
# text = ___________ ____________ _ _____ _____ _____ ___ _ ____ ____ ________ _
___________	O	O
____________	O	O
_	O	O
_____	O	O
_____	O	O
_____	O	O
___	O	O
_	O	O
____	O	O
____	O	O
________	O	O
_	O	O

# sent_id = bar_tweet_1556172822787117058-2
# text = _____ _____ _ _
_____	O	O
_____	O	O
_	O	O
_	O	O

# sent_id = bar_tweet_1556172822787117058-3
# text = ______ __ ___________ _______ _ _
______	O	O
__	O	O
___________	O	O
_______	O	O
_	O	O
_	O	O

# newdoc id = bar_tweet_1658325320292859905
# sent_id = bar_tweet_1658325320292859905-1
# text = ____ __ _
____	O	O
__	O	O
_	O	O

# newdoc id = bar_tweet_1654881636905779201
# sent_id = bar_tweet_1654881636905779201-1
# text = ___________ ________ __________ __
___________	O	O
________	O	O
__________	O	O
__	O	O

# newdoc id = bar_tweet_1045718911512170496
# sent_id = bar_tweet_1045718911512170496-1
# text = __________ ___ _
__________	O	O
___	O	O
_	O	O

# sent_id = bar_tweet_1045718911512170496-2
# text = _ _____ _ _____ _
_	O	O
_____	O	O
_	O	O
_____	O	O
_	O	O

# sent_id = bar_tweet_1045718911512170496-3
# text = __ _____ _________ ___ ___ _____ ________ _______ ___ ____ ___ _ ____ _______ ____ __ ___ ___ ______ ____ _ ____ _____ ___ _ _
__	O	O
_____	O	O
_________	O	O
___	O	O
___	O	O
_____	O	O
________	O	O
_______	O	O
___	O	O
____	O	O
___	O	O
_	O	O
____	O	O
_______	O	O
____	O	O
__	O	O
___	O	O
___	O	O
______	O	O
____	O	O
_	O	O
__	O	O
__	O	O
_____	O	O
___	O	O
_	O	O
_	O	O

# newdoc id = bar_tweet_1661995932865515520
# sent_id = bar_tweet_1661995932865515520-1
# text = ______________ __ ____ ________ ___ ___ ___ _____ _____ ________
______________	O	O
__	O	O
____	O	O
________	O	O
___	O	O
___	O	O
___	O	O
_____	O	O
_____	O	O
________	O	O

# newdoc id = bar_tweet_1510138423109160961
# sent_id = bar_tweet_1510138423109160961-1
# text = _________ _____ __ ___ _____ _____________ _ ______ _
_________	O	O
_____	O	O
__	O	O
___	O	O
_____	O	O
_____________	O	O
_	O	O
______	B-PER	B-PER
_	O	O

# sent_id = bar_tweet_1510138423109160961-2
# text = ______ __ _ _____ ___ ____ ___ _____ ___ __ _
______	O	O
__	O	O
_	O	O
_____	O	O
___	O	O
____	O	O
___	O	O
_____	O	O
___	O	O
__	O	O
_	O	O

# sent_id = bar_tweet_1510138423109160961-3
# text = ___ __ _ _ _____ _________ ___ ___ ___ _____ ____ ___ _
___	O	O
__	O	O
_	O	O
_	O	O
_____	O	O
_________	O	O
___	O	O
___	O	O
___	O	O
_____	O	O
____	O	O
___	O	O
_	O	O

# sent_id = bar_tweet_1510138423109160961-4
# text = _____ __ __ ____ _ ______ _
_____	O	O
__	O	O
__	O	O
____	O	O
_	O	O
______	B-PER	B-PER
_	O	O

# sent_id = bar_tweet_1510138423109160961-5
# text = ___ ______ _____ __ ____ _______ _____ ____ ____________ __ __ __ __ __ __ _
___	O	O
______	O	O
_____	O	O
__	O	O
____	O	O
_______	O	O
_____	O	O
____	O	O
____________	O	O
__	O	O
__	O	O
__	O	O
__	O	O
__	O	O
__	O	O
_	O	O

# newdoc id = bar_tweet_1631977522756833281
# sent_id = bar_tweet_1631977522756833281-1
